# Sorted by appearances in unique dailies
# First section: still direct winrate
# Second section: win multiplier (wins per unique appearance) [line #392]

Ethel/steam's winrate: 0.0% (0 wins/4 games, 1 appearances)
Cactus of the North Realm/steam's winrate: 0.0% (0 wins/4 games, 1 appearances)
Ð£Ð‘Ð›Ð®Ð”ÐžÐš/steam's winrate: 33.33% (1 wins/3 games, 1 appearances)
studge99/steam's winrate: 33.33% (1 wins/3 games, 1 appearances)
shroomdoom3's winrate: 33.33% (1 wins/3 games, 1 appearances)
rcxdude/steam's winrate: 33.33% (1 wins/3 games, 1 appearances)
blunion05/steam's winrate: 33.33% (1 wins/3 games, 1 appearances)
wuterghui's winrate: 0.0% (0 wins/3 games, 1 appearances)
phimagen/steam's winrate: 0.0% (0 wins/3 games, 1 appearances)
mathilda/steam's winrate: 0.0% (0 wins/3 games, 1 appearances)
magzgg's winrate: 0.0% (0 wins/3 games, 1 appearances)
hashgar's winrate: 0.0% (0 wins/3 games, 1 appearances)
drímy/steam's winrate: 0.0% (0 wins/3 games, 1 appearances)
blэt kэsэtka/steam's winrate: 0.0% (0 wins/3 games, 1 appearances)
[OGT] Afterburn/steam's winrate: 0.0% (0 wins/3 games, 1 appearances)
Zal'Haar/steam's winrate: 0.0% (0 wins/3 games, 1 appearances)
Swits/steam's winrate: 0.0% (0 wins/3 games, 1 appearances)
PlazmaWing/steam's winrate: 0.0% (0 wins/3 games, 1 appearances)
Azralon/steam's winrate: 0.0% (0 wins/3 games, 1 appearances)
krazycaley's winrate: 50.0% (1 wins/2 games, 1 appearances)
Computer/steam's winrate: 100.0% (1 wins/1 games, 1 appearances)
tiptoedance/steam's winrate: 0.0% (0 wins/1 games, 1 appearances)
thievnstealburg/steam's winrate: 0.0% (0 wins/1 games, 1 appearances)
thefactoryruins's winrate: 0.0% (0 wins/1 games, 1 appearances)
sth\_wong/steam's winrate: 0.0% (0 wins/1 games, 1 appearances)
simona.kasparcova/steam's winrate: 0.0% (0 wins/1 games, 1 appearances)
pox's winrate: 0.0% (0 wins/1 games, 1 appearances)
melenhead's winrate: 0.0% (0 wins/1 games, 1 appearances)
mcgruble's winrate: 0.0% (0 wins/1 games, 1 appearances)
maybird/steam's winrate: 0.0% (0 wins/1 games, 1 appearances)
kukido's winrate: 0.0% (0 wins/1 games, 1 appearances)
kss's winrate: 0.0% (0 wins/1 games, 1 appearances)
karltonkaiser's winrate: 0.0% (0 wins/1 games, 1 appearances)
ilyoo's winrate: 0.0% (0 wins/1 games, 1 appearances)
freethenation's winrate: 0.0% (0 wins/1 games, 1 appearances)
deathswitch's winrate: 0.0% (0 wins/1 games, 1 appearances)
agentf's winrate: 0.0% (0 wins/1 games, 1 appearances)
Wammmm/steam's winrate: 0.0% (0 wins/1 games, 1 appearances)
Skyler/steam's winrate: 0.0% (0 wins/1 games, 1 appearances)
